"time_since_jump","vel_before_x","vel_before_y","vel_before_z","vel_before_len","vel_after_x","vel_after_y","vel_after_z","vel_after_len","vel_delta_x","vel_delta_y","vel_delta_z","vel_delta_len"
0.159,-333.065,-58.743,125.128,360.6106635389,-1239.192,-218.548,515.088,1359.6601372814,-906.127,-159.805,389.96,999.3360694751
0.019,-230.221,302.97,236.328,447.9324204889,-735.157,967.452,797.816,1453.5919498983,-504.936,664.482,561.488,1005.8655310547
1.503,0,0,0,0,0,0,951,951,0,0,951,951
0.069,0,0,196.328,196.328,0,0,1211.328,1211.328,0,0,1015,1015
0.099,113.123,-186.713,172.328,278.1285621471,508.535,-839.353,826.64,1283.142624354,395.412,-652.64,654.312,1005.1934205356
0.039,-388.906,164.596,220.328,476.3235745121,-1192.687,504.782,718.434,1481.0315863779,-803.781,340.186,498.106,1004.937807923
0.049,362.817,-243.708,212.328,485.914544274,1098.42,-737.825,686.282,1490.6022979148,735.603,-494.117,473.954,1004.9357080998
0.029,-296.628,314.927,228.328,489.1838726869,-893.843,948.984,730.192,1494.2243130698,-597.215,634.057,501.864,1005.2668849465
0.069,338.961,-232.455,197.128,455.8391546697,1070.709,-734.273,666.642,1459.4472095194,731.748,-501.818,469.514,1003.8524975433
0.099,-39.372,283.965,173.128,334.9023439646,-183.006,1104.026,727.367,1334.7012240202,-143.634,820.061,554.239,1000.1558072611
0.079,29.062,-299.655,189.128,355.5377887834,109.021,-1124.006,757.125,1359.6004310466,79.959,-824.351,567.997,1004.2751639322
0.039,45.706,250.873,220.328,337.0025640095,177.975,976.94,905.534,1343.904270914,132.269,726.067,685.206,1007.0628775236
0.139,-48.377,-413.299,141.128,439.4013085028,-156.82,-1339.765,503.593,1439.8502273758,-108.443,-926.466,362.465,1000.7397312139
0.227,-3.482,408.347,69.928,414.3058313818,-11.763,1380.378,285.775,1409.6982449014,-8.281,972.031,215.847,995.7423197449
0.1,42.322,-358.393,172.328,399.917033542,146.21,-1238.146,641.864,1402.273966068,103.888,-879.753,469.536,1002.6076564883
0,54.978,-294.933,252.328,392.0171865582,192.191,-1030.991,926.619,1399.4651098627,137.213,-736.058,674.291,1007.6096165748
0.059,-35.67,139.69,204.328,250.0711430453,-173.566,679.735,1046.919,1260.2397466919,-137.896,540.045,842.591,1010.2591262256
0.029,341.839,-228.915,228.328,470.5206209403,1056.66,-707.609,749.292,1476.035011016,714.821,-478.694,520.964,1005.7437531365
0.029,63.897,373.386,229.128,442.7183890342,205.535,1201.058,780.778,1447.2039389364,141.638,827.672,551.65,1004.6989524868
0.099,345.759,-77.534,172.328,394.0275965221,1206.868,-270.629,648.241,1396.4192848661,861.109,-193.095,475.913,1002.6403006438
0.029,-165.344,104.631,228.328,300.6991188564,-699.559,442.692,1015.042,1309.835586289,-534.215,338.061,786.714,1009.2521110912
0.029,196.979,-290.96,228.328,419.037138718,658.107,-972.08,807.113,1424.5966954258,461.128,-681.12,578.785,1005.7611858732
0.149,0,0,133.128,133.128,0,0,1148.128,1148.128,0,0,1015,1015
0.288,0,0,21.928,21.928,0,0,1036.928,1036.928,0,0,1015,1015
0.438,0,0,-98.071,98.071,0,0,-1019.071,1019.071,0,0,-921,921
0.985,0,0,0,0,0,0,967,967,0,0,967,967
2.67,0,0,0,0,0,0,935,935,0,0,935,935
2.591,-3.041,-171.476,0,171.5029628228,-19.548,-1102.675,0,1102.8482578891,-16.507,-931.199,0,931.3452950705
1.991,0,0,0,0,0,0,959,959,0,0,959,959
0.089,159.069,-310.834,181.128,393.3548966277,555.762,-1086,679.322,1396.3329761658,396.693,-775.166,498.194,1003.2172872519
0.059,-37.15,306.048,204.328,369.8586654223,-135.426,1115.752,791.6,1374.7266226345,-98.276,809.704,587.272,1005.0707148136
0.019,308.925,-303.067,236.328,493.0874016825,925.954,-908.405,750.216,1498.4707207006,617.029,-605.338,513.888,1005.6041754234
0,-387.939,126.686,252.328,479.8077009605,-1183.312,386.428,811.502,1485.9641262601,-795.373,259.742,559.174,1006.3596166227
0.069,359.343,-220.923,196.328,465.2730888005,1119.761,-688.431,655.483,1468.8294326337,760.418,-467.508,459.155,1003.8040539931
0.049,40.779,-297.215,213.128,367.9989503382,149.171,-1087.142,826.074,1373.5093625021,108.392,-789.927,612.946,1005.7018891844
0.069,358.148,-104.855,197.128,422.0474017371,1191.602,-348.866,700.905,1425.7947367644,833.454,-244.011,503.777,1003.9811770975
1.104,-130.335,270.211,0,300.00199457,-535.434,1110.069,0,1232.4539557797,-405.099,839.858,0,932.4519612103
0.069,148.668,-260.865,196.328,358.7442069679,553.981,-972.052,778.928,1363.271384666,405.313,-711.187,582.6,1004.7329679761
0.009,-125.276,272.649,245.128,387.452306434,-441.361,960.603,908.604,1393.957992461,-316.085,687.954,663.476,1006.6731524765
0.079,4.728,-148.964,189.128,240.7945756532,23.69,-746.87,1002.048,1249.9904828854,18.962,-597.906,812.92,1009.3017728509
0.249,-4.315,296.908,52.328,301.5148408835,-18.372,1262.73,277.68,1293.0316182074,-14.057,965.822,225.352,991.8635283329
0.039,-100.575,-350.455,220.328,426.0028934573,-332.327,-1158.001,772.301,1431.0333278897,-231.752,-807.546,551.973,1005.2431170364
0.278,-143.715,399.684,29.128,425.7343555141,-477.332,1327.509,147.27,1418.3844458415,-333.617,927.825,118.142,993.0342720561
0.328,-3.567,-428.322,-10.071,428.4552301163,-11.817,-1417.957,18.717,1418.1297618438,-8.25,-989.635,28.788,990.0879984471
0.25,-93.396,362.57,51.528,377.9351167859,-336.837,1307.633,237.373,1371.0248606014,-243.441,945.063,185.845,993.4515380606
0.209,8.512,-299.879,85.128,311.8439436144,35.243,-1242.02,405.832,1307.1171950797,26.731,-942.141,320.704,995.5878996141
