"rocket_x","rocket_y","rocket_z","player_x","player_y","player_z","delta_x","delta_y","delta_z","delta_len","vel_before_x","vel_before_y","vel_before_z","vel_after_x","vel_after_y","vel_after_z","vel_delta_x","vel_delta_y","vel_delta_z","vel_delta_len"
-763.83,48.28,-231.29,-765.934,54.939,-219.968,2.104,-6.659,-11.322,13.302510327,0,0,0,-148.531,471.843,947.689,148.531,-471.843,-947.689,1069.0237206587
-813.03,241.82,-232.47,-819.623,246.581,-219.968,6.593,-4.761,-12.502,14.9142473494,13.813,-244.78,0,-358.809,-2.092,828.741,372.622,-242.688,-828.741,940.508514214
-776.51,436.47,-236.34,-775.9,440.749,-219.968,-0.61,-4.279,-16.372,16.932936101,-14.062,-399.758,0,18.757,-171.456,985.131,-32.819,-228.302,-985.131,1011.7717020781
-752.23,411.58,-240.87,-758.644,415.645,-219.968,6.414,-4.065,-20.902,22.238642607,-9.171,-399.894,0,-269.729,-234.519,942.99,260.558,-165.375,-942.99,992.2043650826
-885.5,290.43,-245.87,-885.245,295.822,-219.968,-0.255,-5.392,-25.902,26.458501337,315.909,-256.454,0,326.179,-41.009,1128.687,-10.27,-215.445,-1128.687,1149.1111194719
-788.78,48.27,-247.65,-793.474,50.156,-219.968,4.694,-1.886,-27.682,28.1404292078,0,0,0,-180.946,72.491,1178.147,180.946,-72.491,-1178.147,1194.1636209523
-788.78,48.27,-247.65,-793.474,50.156,-219.968,4.694,-1.886,-27.682,28.1404292078,0,0,0,-180.946,72.491,1178.147,180.946,-72.491,-1178.147,1194.1636209523
-774.05,-419.63,-248.41,-766.889,-423.393,-219.968,-7.161,3.763,-28.442,29.5700431856,3.691,41.034,0,259.675,-92.97,1118.195,-255.984,134.004,-1118.195,1154.9220485803
-768.54,222.69,-181.67,-781.703,242.253,-157.603,13.163,-19.563,-24.067,33.6926702266,-31.826,-196.307,-556.554,-424.051,386.682,236.73,392.225,-582.989,-793.284,1059.7245535525
-776.2,326.23,-253.85,-773.943,332.794,-219.968,-2.257,-6.564,-33.882,34.5856916802,10.225,-399.875,0,80.305,-196.868,1140.969,-70.08,-203.007,-1140.969,1161.0053003367
-720.27,171.74,-254.03,-721.009,181.721,-219.968,0.739,-9.981,-34.062,35.5019200326,-259.187,-194.371,0,-281.325,106.497,1101.32,22.138,-300.868,-1101.32,1141.8920206692
-770.83,493.52,-255.41,-778.538,490.168,-219.968,7.708,3.352,-35.442,36.4250536307,-10.459,-399.864,0,-229.353,-495.165,1091.174,218.894,95.301,-1091.174,1116.9859274463
